,din_instante,val_geracao,Estacao
236,2018-08-25,712.0213,Inverno
237,2018-08-26,992.117,Inverno
238,2018-08-27,976.2829999999999,Inverno
239,2018-08-28,960.449,Inverno
240,2018-08-29,932.428,Inverno
241,2018-08-30,974.548,Inverno
242,2018-08-31,952.444,Inverno
243,2018-09-01,901.254,Inverno
244,2018-09-02,628.49,Inverno
245,2018-09-03,416.43399999999997,Inverno
246,2018-09-04,778.105,Inverno
247,2018-09-05,827.7555,Inverno
248,2018-09-06,877.406,Inverno
249,2018-09-07,927.0565,Inverno
250,2018-09-08,976.707,Inverno
251,2018-09-09,964.7289999999999,Inverno
252,2018-09-10,939.124,Inverno
253,2018-09-11,933.926,Inverno
254,2018-09-12,927.518,Inverno
255,2018-09-13,873.72,Inverno
256,2018-09-14,679.888,Inverno
257,2018-09-15,486.056,Inverno
258,2018-09-16,739.383,Inverno
259,2018-09-17,582.5595000000001,Inverno
260,2018-09-18,425.736,Inverno
261,2018-09-19,872.121,Inverno
262,2018-09-20,446.847,Inverno
263,2018-09-21,523.5642,Primavera
264,2018-09-22,600.2814,Primavera
265,2018-09-23,676.9986,Primavera
266,2018-09-24,753.7158,Primavera
267,2018-09-25,830.433,Primavera
268,2018-09-26,790.718,Primavera
269,2018-09-27,428.444,Primavera
270,2018-09-28,836.467,Primavera
271,2018-09-29,793.051,Primavera
272,2018-09-30,848.6785,Primavera
273,2018-10-01,904.306,Primavera
274,2018-10-02,789.998,Primavera
275,2018-10-03,855.115,Primavera
276,2018-10-04,869.1840000000001,Primavera
277,2018-10-05,889.415,Primavera
278,2018-10-06,922.5649999999999,Primavera
279,2018-10-07,619.242,Primavera
280,2018-10-08,421.229,Primavera
281,2018-10-09,610.747,Primavera
282,2018-10-10,536.011,Primavera
283,2018-10-11,682.13,Primavera
284,2018-10-12,962.913,Primavera
285,2018-10-13,863.4014999999999,Primavera
286,2018-10-14,763.89,Primavera
287,2018-10-15,776.649,Primavera
288,2018-10-16,671.602,Primavera
